agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
5,4,0.1458832919598,166.8,2015,0,9.0
100,4,0.2005415819585,849.3666666667,2015,0,9.0
5,5,0,163.8,2015,0,9.0
100,5,0.2572636920959,851.2666666667,2015,0,9.0
5,6,0.1502676010132,161.9333333333,2015,0,9.0
100,6,0.4131054244936,854.1,2015,0,9.0
5,7,1.502057611942,162,2015,0,9.0
100,7,2.586636578664,856.0666666667,2015,0,9.0
5,8,4.726618632674,162.1666666667,2015,0,9.0
100,8,5.451142396778,859.3,2015,0,9.0
5,9,6.78272408247,163.2333333333,2015,0,9.0
100,9,4.987384110689,858.7,2015,0,9.0
5,10,4.159336455166,166.7333333333,2015,0,9.0
100,10,2.034734159708,855.0666666667,2015,0,9.0
5,11,3.271629050374,171.0666666667,2015,0,9.0
100,11,2.180934106931,853.5333333333,2015,0,9.0
5,12,3.362118601799,173.7,2015,0,9.0
100,12,3.182102454826,852.6333333333,2015,0,9.0
5,1,2.281695604324,170.6333333333,2016,0,9.0
100,1,2.830118837766,855.5,2016,0,9.0
5,2,0.4261529445648,171.3,2016,0,9.0
100,2,1.336371429265,855.8,2016,0,9.0
5,3,0.4264018535614,171.2,2016,0,9.0
100,3,0.527724603191,853.0333333333,2016,0,9.0
5,4,0.2791587114334,174.3333333333,2016,0,9.0
100,4,0.4143505906686,851.5333333333,2016,0,9.0
5,5,0.2069943398237,176.3333333333,2016,0,9.0
100,5,0.3425353914499,852.4666666667,2016,0,9.0
5,6,0.9674366116524,176.0666666667,2016,0,9.0
100,6,1.881296396255,853.6666666667,2016,0,9.0
5,7,1.511102676392,177.1333333333,2016,0,9.0
100,7,2.710148962215,852.9666666667,2016,0,9.0
5,8,2.735106647015,177.9333333333,2016,0,9.0
100,8,5.435836429708,852.7666666667,2016,0,9.0
5,9,3.673376217484,182.1666666667,2016,0,9.0
100,9,4.086034204811,851.6,2016,0,9.0
5,10,3.586742989719,186.5666666667,2016,0,9.0
100,10,2.783644334413,852.3,2016,0,9.0
5,11,4.509400092065,186.1666666667,2016,0,9.0
100,11,3.066268148832,853.1,2016,0,9.0
5,12,6.096443742514,185.6,2016,0,9.0
100,12,3.104201517999,854.4333333333,2016,0,9.0
5,1,1.371198512614,186.3333333333,2017,0,9.0
100,1,2.037116601132,854.0666666667,2017,0,9.0
5,2,0.5187422037125,187.6333333333,2017,0,9.0
100,2,0.9534484902397,854.9666666667,2017,0,9.0
5,3,0.2579049766064,188.7,2017,0,9.0
100,3,0.3992187604308,853.3333333333,2017,0,9.0
5,4,0,188.5,2017,0,9.0
100,4,0.3714576549828,851.6,2017,0,9.0
5,5,0.131294965744,185.3333333333,2017,0,9.0
100,5,0.08565394207835,852.2666666667,2017,0,9.0
5,6,0.5206847190857,186.9333333333,2017,0,9.0
100,6,0.6718230061233,851.1666666667,2017,0,9.0
5,7,0.6485430151224,187.6,2017,0,9.0
100,7,2.170993067324,846.2333333333,2017,0,9.0
5,8,2.053539015353,183.6666666667,2017,0,9.0
100,8,6.879221051931,848.9333333333,2017,0,9.0
5,9,2.456794723868,183.2333333333,2017,0,9.0
100,9,3.498448304832,848.5666666667,2017,0,9.0
